Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WBA,WMT,DIS
1999-12-31,40.915,48.5089,0.918,41.438,23.5313,43.3125,53.5625,29.125,0,40.2813,94.188,68.75,41.1563,103.0383,46.625,51.7917,40.313,60.6348,58.375,6.1953,30.7491,54.7813,19.169,33.688,6.641,55.1812,0,0,23.0417,28.8611
2000-01-31,39.139,48.0712,0.9263,44.5,21.2188,41.8125,54.75,28.7188,0,41.4375,91.625,56.625,49.4688,107.2172,43.0313,53.7917,37.375,70.9568,48.9375,5.6875,34.3039,50.5313,15.612,30.188,6.625,55.5174,0,0,18.25,35.8297
2000-02-29,36.866,39.1536,1.0234,36.938,17.5313,37.3438,66.0938,24.3125,0,37.6563,92.5,57.5,56.5,98.1431,36,53.0833,31.75,55.5584,44.6875,3.5547,30.4529,43.9375,15.022,22.375,6.391,43.8649,0,29.25,16.25,33.548
2000-03-31,37.022,43.4574,1.2126,37.813,19.7188,46.2188,77.3125,23.4688,0,39,105.25,64.5,65.9688,113.0675,35.125,58.125,37.375,56.066,53.125,4.9531,34.6594,28.375,18.634,34.125,7.453,54.7891,0,27.9375,18.8333,40.7016
2000-04-28,36.212,43.6215,1.1077,39.688,19.7188,42.5625,69.3281,23.625,0,38.8438,93.25,56.5,63.4063,106.5008,41.25,48.0833,38.063,62.7218,34.875,5.4297,39.9324,29.875,18.34,35.625,8.336,53.7807,0,25.8125,18.4583,43.045
2000-05-31,35.847,47.2688,0.75,39.063,19.125,46.2188,56.9375,26.6875,0,41.6563,73.563,49,62.3438,102.501,44.75,49.7917,35.813,67.3469,31.2813,5.3594,42.1837,33.25,17.823,37.5,9.32,47.3942,0,25.75,19.2083,41.6266
2000-06-30,34.697,45.6275,0.9353,41.813,16.9375,42.4063,63.5625,28.7188,0,39.25,94.773,49.938,66.8438,104.6502,50.9375,46.0625,32.938,69.1519,40,4.9766,45.5016,28.375,17.363,34.125,10.719,45.5455,0,28.125,19.2083,38.2965
2000-07-31,37.65,49.6213,0.9074,48.813,17.0313,39.4922,65.4375,30.6563,0,40.0938,98.688,51.75,66.75,107.2172,46.5313,49.8125,31.688,64.6677,34.9063,5.4688,41.1173,28.5,17.215,44.438,10.227,41.9041,0,28.375,18.4167,38.0498
2000-08-31,38.886,51.6592,1.0882,53.641,18.3848,42.2598,68.625,26.3223,0,40.8223,129.5,48.063,74.875,126.0966,45.9785,55.875,29.895,63.0778,34.9063,4.9478,40.8951,30.916,18.413,47.516,11.815,39.005,0,32.1875,15.875,38.4391
2000-09-29,38.094,53.1774,0.4598,64.5,15.5,42.625,55.25,27.5625,0,44.5528,114.063,52.938,41.5625,107.5753,46.9688,46.1875,30.188,67.1777,30.1563,5.0078,42.58,33.5,20.459,50.375,12.344,43.4167,0,31.1875,16.0417,37.7415
2000-10-31,40.393,52.5209,0.3493,67.813,17.5313,41.0625,53.875,30.1875,0,44.5938,99.813,43,45,94.0837,46.0625,45.5,31,81.166,34.4375,4.9922,40.9395,35.7188,20.588,51.25,13.672,51.8199,0,32.8946,15.125,35.3364
2000-11-30,41.751,48.0894,0.2946,69.063,19.6563,40.9375,47.875,31.3125,0,44,82.125,39.188,38.0625,89.3078,50,36.875,31.875,83.6478,28.6875,5.3281,42.006,37.4375,20.883,50.125,14.664,50.3634,0,37.9375,17.3958,28.5528
2000-12-29,50.374,48.0894,0.2656,66,23.6563,42.2188,38.25,30.4688,0,43.4688,106.938,45.688,30.0625,81.1889,52.5313,45.4375,34,84.4939,21.6875,6.9766,43.6057,39.2188,23.187,54.313,15.344,44.9293,0,45.625,17.7083,28.5528
2001-01-31,46.256,41.2289,0.3862,58.5,22.11,41.64,37.4375,29,0,42.075,113.75,48.2,37,106.9784,46.565,54.99,29.35,74.1651,30.5313,6.8775,42.7999,35.92,22.112,48.02,14.103,49.2542,0,44.5625,18.9333,30.0452
2001-02-28,47.134,38.4103,0.3259,62.2,20.8,42.83,23.6875,26.515,0,40.525,91.75,42.5,28.5625,95.4209,48.665,46.66,29.4,72.3782,29.5,4.8813,42.6577,35.25,22.976,46.29,14.808,44.3691,0,41.8125,16.6967,30.5385
2001-03-30,43.434,36.1519,0.3941,55.71,22.19,43.9,15.8125,22.58,0,40.5,85.1,43.1,26.3125,91.8677,43.735,44.9,26.55,68.4976,27.3438,5.0688,38.8185,31.3,21.617,44.05,14.815,44.1898,0,40.94,16.8333,28.2198
2001-04-30,49.751,37.1498,0.4552,61.8,25.1,48.28,16.98,23.095,0,44.3,91.1,47.1,30.91,109.9776,48.24,47.98,27.5,68.5607,33.875,5.2263,41.0462,30.025,23.026,45.1,16.37,49.3617,0,44.32,17.2467,29.8478
2001-05-31,49.571,36.8697,0.3563,62.89,27.08,48.025,19.26,23.7,0,44.375,95.1,49.29,27.01,106.7873,48.475,49.15,30.28,65.8714,34.59,5.1375,40.6575,32.12,24.569,50.6,14.375,49.1645,0,40.8,17.25,31.1996
2001-06-29,47.698,33.9635,0.4152,55.6,25.025,45.25,18.2,22.5,0,43.675,85.8,46.55,29.25,107.9335,50,44.47,27.06,57.6769,36.5,5.2488,37.9654,31.9,21.605,50.7,15.438,47.9545,0,42.78,16.2667,28.5059
2001-07-31,46.77,35.3028,0.3355,58.53,27.55,45.695,19.22,22.3,0,41.76,83.16,50.37,29.81,100.4928,54.1,43.3,29.14,61.35,33.095,5.9438,39.0745,35.51,21.646,43.85,16.855,48.5371,0,40.19,18.6333,25.9997
2001-08-31,43.518,31.8802,0.3313,51.2,25,45.375,16.33,24.335,0,40.15,80.1,45.95,27.96,95.4686,52.71,39.4,30.03,58.7509,28.525,6.25,36.3159,37.075,20.172,42.03,17.015,44.8172,0,34.46,16.0167,25.0919
2001-09-28,41.135,25.4376,0.277,33.5,22.4,42.375,12.18,23.425,0,39.4,71.35,38.37,20.44,87.6076,55.4,34.15,27.14,60.1046,25.585,5.8513,38.0128,36.395,13.713,41.22,16.625,48.5012,0,33.7,16.5,18.3724
2001-10-31,43.635,25.7615,0.3136,32.6,22.36,44.275,16.92,23.94,0,39.45,78.16,38.23,24.42,103.2246,57.91,35.36,26.07,57.5867,29.075,6.17,39.7191,36.89,15.893,45.9,16.438,44.6469,0,34.35,17.1333,18.3428
2001-11-30,47.899,28.8077,0.3804,35.1,23.71,42.505,20.44,23.48,0,37.4,89,46.65,32.66,110.4074,58.25,37.72,26.84,61.1424,32.105,6.6238,41.0557,38.73,17.753,47.08,17.863,42.1282,0,34.43,18.3833,20.1979
2001-12-31,49.416,31.2412,0.3911,38.78,26.125,44.805,18.11,23.575,0,39.3,92.75,51.01,31.45,115.5366,59.1,36.35,26.47,53.0653,33.125,7.03,37.7758,39.565,19.06,43.97,17.693,42.5405,0,32.38,19.1833,20.4445
2002-01-31,46.402,31.3812,0.4414,40.95,25.14,41.9,19.8,21.875,0,39.05,86.98,50.09,35.04,103.0526,57.51,34.05,27.18,53.4083,31.855,7.4888,39.501,40.84,20.269,44.7,18.588,41.5456,0,33,19.9933,20.78
2002-02-28,49.299,31.9064,0.3875,45.96,27.755,42.22,14.27,23.695,0,41.3,80.94,50,28.55,93.7207,60.9,29.25,26.1,55.3486,29.17,7.3575,38.828,42.395,21.513,48.9,18.123,41.9489,0,33.66,20.67,22.6942
2002-03-28,48.078,35.8543,0.4227,48.25,28.425,45.135,16.93,26.13,0,43.83,90.25,48.61,30.41,99.3371,64.95,35.65,27.75,51.9643,30.155,7.5013,37.6715,45.045,21.882,45.85,19.105,41.3215,0,36.28,20.4333,22.7732
