Date,PX_LAST
2001-08-31,3.389
2001-09-28,2.249
2001-10-31,2.218
2001-11-30,1.863
2001-12-31,1.68
2002-01-31,1.67
2002-02-28,1.751
2002-03-28,1.751
2002-04-30,1.741
2002-05-31,1.7
2002-06-28,1.68
2002-07-31,1.72
2002-08-30,1.7
2002-09-30,1.588
2002-10-31,1.477
2002-11-29,1.243
2002-12-31,1.141
2003-01-31,1.152
2003-02-28,1.192
2003-03-31,1.141
2003-04-30,1.111
2003-05-30,1.162
2003-06-30,0.796
2003-07-31,0.878
2003-08-29,0.972
2003-09-30,0.798
2003-10-31,0.951
2003-11-28,0.951
2003-12-31,0.798
2004-01-30,0.839
2004-02-27,0.941
2004-03-31,0.941
2004-04-30,0.819
2004-05-28,0.931
2004-06-30,1.083
2004-07-30,1.246
2004-08-31,1.426
2004-09-30,1.477
2004-10-29,1.721
2004-11-30,2.046
2004-12-31,1.853
2005-01-31,2.015
2005-02-28,2.483
2005-03-31,2.616
2005-04-29,2.676
2005-05-31,2.767
2005-06-30,2.972
2005-07-29,3.226
2005-08-31,3.368
2005-09-30,3.114
2005-10-31,3.735
2005-11-30,3.948
2005-12-30,4.0
2006-01-31,4.193
2006-02-28,4.468
2006-03-31,4.632
2006-04-28,4.581
2006-05-31,4.743
2006-06-30,4.469
2006-07-31,5.009
2006-08-31,5.124
2006-09-29,4.561
2006-10-31,5.172
2006-11-30,5.226
2006-12-29,4.724
2007-01-31,4.947
2007-02-28,5.181
2007-03-30,5.061
2007-04-30,4.754
2007-05-31,4.844
2007-06-29,4.235
2007-07-31,4.988
2007-08-31,4.164
2007-09-28,3.357
2007-10-31,3.898
2007-11-30,3.664
2007-12-31,2.612
2008-01-31,1.583
2008-02-29,2.082
2008-03-31,1.206
2008-04-30,1.063
2008-05-30,1.99
2008-06-30,1.532
2008-07-31,1.522
2008-08-29,1.609
2008-09-30,0.208
2008-10-31,0.106
2008-11-28,0.015
2008-12-31,0.01
2009-01-30,0.096
2009-02-27,0.146
2009-03-31,0.132
2009-04-30,0.044
2009-05-29,0.137
2009-06-30,0.106
2009-07-31,0.127
2009-08-31,0.104
2009-09-30,0.033
2009-10-30,0.015
2009-11-30,0.072
2009-12-31,0.035
2010-01-29,0.01
2010-02-26,0.081
2010-03-31,0.15
2010-04-30,0.135
2010-05-28,0.145
2010-06-30,0.162
2010-07-30,0.14
2010-08-31,0.155
2010-09-30,0.138
2010-10-29,0.13
2010-11-30,0.155
2010-12-31,0.059
2011-01-31,0.137
2011-02-28,0.12
2011-03-31,0.064
2011-04-29,0.013
2011-05-31,0.033
2011-06-30,0.008
2011-07-29,0.17
2011-08-31,0.008
2011-09-30,0.008
2011-10-31,0.008
2011-11-30,0.018
2011-12-30,-0.003
2012-01-31,0.038
2012-02-29,0.079
2012-03-30,0.033
2012-04-30,0.064
2012-05-31,0.028
2012-06-29,0.033
2012-07-31,0.048
2012-08-31,0.084
2012-09-28,0.058
2012-10-31,0.086
2012-11-30,0.109
2012-12-31,0.018
2013-01-31,0.038
2013-02-28,0.068
2013-03-28,0.028
2013-04-30,0.033
2013-05-31,0.018
2013-06-28,0.008
2013-07-31,0.023
2013-08-30,0.023
2013-09-30,0.023
2013-10-31,0.028
2013-11-29,0.048
2013-12-31,0.013
2014-01-31,0.033
2014-02-28,0.043
2014-03-31,0.025
2014-04-30,0.018
2014-05-30,0.038
2014-06-30,0.008
2014-07-31,0.003
2014-08-29,0.013
2014-09-30,0.013
2014-10-31,-0.003
2014-11-28,0.038
2014-12-31,0.015
2015-01-30,0.013
2015-02-27,0.023
2015-03-31,0.013
2015-04-30,-0.013
2015-05-29,0.003
2015-06-30,-0.008
2015-07-31,0.025
2015-08-31,0.003
2015-09-30,-0.018
2015-10-30,0.003
2015-11-30,0.094
2015-12-31,0.125
2016-01-29,0.221
2016-02-29,0.221
2016-03-31,0.17
2016-04-29,0.155
2016-05-31,0.18
2016-06-30,0.173
2016-07-29,0.18
2016-08-31,0.271
2016-09-30,0.185
2016-10-31,0.165
2016-11-30,0.363
2016-12-30,0.418
2017-01-31,0.464
2017-02-28,0.428
2017-03-31,0.728
2017-04-28,0.662
2017-05-31,0.86
2017-06-30,0.839
2017-07-31,0.982
2017-08-31,0.907
2017-09-29,0.944
2017-10-31,0.975
2017-11-30,1.128
2017-12-29,1.234
2018-01-31,1.379
2018-02-28,1.5
2018-03-29,1.618
2018-04-30,1.624
2018-05-31,1.739
2018-06-29,1.748
2018-07-31,1.891
2018-08-31,1.931
2018-09-28,2.112
2018-10-31,2.191
2018-11-30,2.306
2018-12-31,2.429
2019-01-31,2.394
2019-02-28,2.409
2019-03-29,2.426
2019-04-30,2.421
2019-05-31,2.324
2019-06-28,2.131
2019-07-31,1.992
2019-08-30,2.09
2019-09-30,1.867
2019-10-31,1.546
2019-11-29,1.617
2019-12-31,1.453
2020-01-31,1.543
2020-02-28,1.45
2020-03-31,0.023
2020-04-30,0.076
2020-05-29,0.119
2020-06-30,0.12
2020-07-31,0.087
2020-08-31,0.086
2020-09-30,0.075
2020-10-30,0.08
2020-11-30,0.079
2020-12-31,0.043
2021-01-29,0.048
2021-02-26,0.028
2021-03-31,0.004
2021-04-30,0.004
2021-05-28,0.0
2021-06-30,0.043
2021-07-30,0.039
2021-08-31,0.03
2021-09-30,0.053
2021-10-29,0.052
2021-11-30,0.109
2021-12-31,0.028
2022-01-31,0.034
2022-02-28,0.057
2022-03-31,0.131
2022-04-29,0.327
2022-05-31,0.72
2022-06-30,1.02
2022-07-29,2.152
2022-08-31,2.258
2022-09-30,2.679
2022-10-31,3.623
2022-11-30,3.947
2022-12-30,3.999
2023-01-31,4.523
2023-02-28,4.597
2023-03-31,4.532
2023-04-28,4.18
2023-05-31,5.158
2023-06-30,5.142
2023-07-31,5.363
2023-08-31,5.381
