Date,PX_LAST
37134,3.389
37162,2.249
37195,2.218
37225,1.863
37256,1.68
37287,1.67
37315,1.751
37343,1.751
37376,1.741
37407,1.7
37435,1.68
37468,1.72
37498,1.7
37529,1.588
37560,1.477
37589,1.243
37621,1.141
37652,1.152
37680,1.192
37711,1.141
37741,1.111
37771,1.162
37802,0.796
37833,0.878
37862,0.972
37894,0.798
37925,0.951
37953,0.951
37986,0.798
38016,0.839
38044,0.941
38077,0.941
38107,0.819
38135,0.931
38168,1.083
38198,1.246
38230,1.426
38260,1.477
38289,1.721
38321,2.046
38352,1.853
38383,2.015
38411,2.483
38442,2.616
38471,2.676
38503,2.767
38533,2.972
38562,3.226
38595,3.368
38625,3.114
38656,3.735
38686,3.948
38716,4
38748,4.193
38776,4.468
38807,4.632
38835,4.581
38868,4.743
38898,4.469
38929,5.009
38960,5.124
38989,4.561
39021,5.172
39051,5.226
39080,4.724
39113,4.947
39141,5.181
39171,5.061
39202,4.754
39233,4.844
39262,4.235
39294,4.988
39325,4.164
39353,3.357
39386,3.898
39416,3.664
39447,2.612
39478,1.583
39507,2.082
39538,1.206
39568,1.063
39598,1.99
39629,1.532
39660,1.522
39689,1.609
39721,0.208
39752,0.106
39780,0.015
39813,0.01
39843,0.096
39871,0.146
39903,0.132
39933,0.044
39962,0.137
39994,0.106
40025,0.127
40056,0.104
40086,0.033
40116,0.015
40147,0.072
40178,0.035
40207,0.01
40235,0.081
40268,0.15
40298,0.135
40326,0.145
40359,0.162
40389,0.14
40421,0.155
40451,0.138
40480,0.13
40512,0.155
40543,0.059
40574,0.137
40602,0.12
40633,0.064
40662,0.013
40694,0.033
40724,0.008
40753,0.17
40786,0.008
40816,0.008
40847,0.008
40877,0.018
40907,-0.003
40939,0.038
40968,0.079
40998,0.033
41029,0.064
41060,0.028
41089,0.033
41121,0.048
41152,0.084
41180,0.058
41213,0.086
41243,0.109
41274,0.018
41305,0.038
41333,0.068
41361,0.028
41394,0.033
41425,0.018
41453,0.008
41486,0.023
41516,0.023
41547,0.023
41578,0.028
41607,0.048
41639,0.013
41670,0.033
41698,0.043
41729,0.025
41759,0.018
41789,0.038
41820,0.008
41851,0.003
41880,0.013
41912,0.013
41943,-0.003
41971,0.038
42004,0.015
42034,0.013
42062,0.023
42094,0.013
42124,-0.013
42153,0.003
42185,-0.008
42216,0.025
42247,0.003
42277,-0.018
42307,0.003
42338,0.094
42369,0.125
42398,0.221
42429,0.221
42460,0.17
42489,0.155
42521,0.18
42551,0.173
42580,0.18
42613,0.271
42643,0.185
42674,0.165
42704,0.363
42734,0.418
42766,0.464
42794,0.428
42825,0.728
42853,0.662
42886,0.86
42916,0.839
42947,0.982
42978,0.907
43007,0.944
43039,0.975
43069,1.128
43098,1.234
43131,1.379
43159,1.5
43188,1.618
43220,1.624
43251,1.739
43280,1.748
43312,1.891
43343,1.931
43371,2.112
43404,2.191
43434,2.306
43465,2.429
43496,2.394
43524,2.409
43553,2.426
43585,2.421
43616,2.324
43644,2.131
43677,1.992
43707,2.09
43738,1.867
43769,1.546
43798,1.617
43830,1.453
43861,1.543
43889,1.45
43921,0.023
43951,0.076
43980,0.119
44012,0.12
44043,0.087
44074,0.086
44104,0.075
44134,0.08
44165,0.079
44196,0.043
44225,0.048
44253,0.028
44286,0.004
44316,0.004
44344,0
44377,0.043
44407,0.039
44439,0.03
44469,0.053
44498,0.052
44530,0.109
44561,0.028
44592,0.034
44620,0.057
44651,0.131
44680,0.327
44712,0.72
44742,1.02
44771,2.152
44804,2.258
44834,2.679
44865,3.623
44895,3.947
44925,3.999
44957,4.523
44985,4.597
45016,4.532
45044,4.18
45077,5.158
45107,5.142
45138,5.363
45169,5.381
45198,5.363
45230,5.394
45260,5.379
45289,5.403
45322,5.372
45351,5.397
45379,5.356
45412,5.379
45443,5.361
45471,5.323
45504,5.37
45534,5.266
45565,4.82
45596,4.67
45625,4.616
45657,4.28
45688,4.298
45716,4.302
45747,4.305
45777,4.296
45807,4.272
45838,4.215
45869,4.361
45898,4.317
45930,4.109
45961,3.917
